ID,income
105000,1.0
105001,1.0
105002,1.0
105003,1.0
105004,1.0
105005,1.0
105006,1.0
105007,1.0
105008,1.0
105009,1.0
105010,1.0
105011,1.0
105012,1.0
105013,1.0
105014,1.0
105015,1.0
105016,1.0
105017,1.0
105018,1.0
105019,1.0
105020,1.0
105021,1.0
105022,1.0
105023,1.0
105024,1.0
105025,1.0
105026,1.0
105027,1.0
105028,1.0
105029,1.0
105030,1.0
105031,1.0
105032,1.0
105033,1.0
105034,1.0
105035,1.0
105036,1.0
105037,1.0
105038,1.0
105039,1.0
105040,1.0
105041,1.0
105042,1.0
105043,1.0
105044,1.0
105045,1.0
105046,1.0
105047,1.0
105048,1.0
105049,1.0
105050,1.0
105051,1.0
105052,1.0
105053,1.0
105054,1.0
105055,1.0
105056,1.0
105057,1.0
105058,1.0
105059,1.0
105068,1.0
105071,1.0
105076,1.0
105077,1.0
105102,1.0
105103,1.0
105105,1.0
105106,1.0
105109,1.0
105130,1.0
105141,1.0
105162,1.0
105164,1.0
105165,1.0
105167,1.0
105199,1.0
105200,1.0
105212,1.0
105252,1.0
105301,1.0
105302,1.0
105328,1.0
105333,1.0
105340,1.0
105345,1.0
105421,1.0
105428,1.0
105435,1.0
105436,1.0
105456,1.0
105479,1.0
105482,1.0
105491,1.0
105495,1.0
105510,1.0
105511,1.0
105521,1.0
105525,1.0
105535,1.0
105554,1.0
105567,1.0
105570,1.0
105585,1.0
105597,1.0
105627,1.0
105641,1.0
105650,1.0
105680,1.0
105689,1.0
105693,1.0
105721,1.0
105722,1.0
105724,1.0
105731,1.0
105734,1.0
105747,1.0
105750,1.0
105754,1.0
105783,1.0
105793,1.0
105794,1.0
105798,1.0
105803,1.0
105807,1.0
105821,1.0
105824,1.0
105828,1.0
105830,1.0
105832,1.0
105836,1.0
105837,1.0
105854,1.0
105866,1.0
105884,1.0
105889,1.0
105899,1.0
105912,1.0
105917,1.0
105923,1.0
105934,1.0
105936,1.0
105950,1.0
105982,1.0
106008,1.0
106017,1.0
106035,1.0
106038,1.0
106046,1.0
106069,1.0
106073,1.0
106077,1.0
106078,1.0
106094,1.0
106102,1.0
106112,1.0
106128,1.0
106155,1.0
106158,1.0
106159,1.0
106173,1.0
106176,1.0
106181,1.0
106185,1.0
106187,1.0
106192,1.0
106194,1.0
106195,1.0
106224,1.0
106252,1.0
106256,1.0
106259,1.0
106261,1.0
106269,1.0
106270,1.0
106273,1.0
106277,1.0
106285,1.0
106300,1.0
106306,1.0
106315,1.0
106319,1.0
106324,1.0
106327,1.0
106341,1.0
106359,1.0
106362,1.0
106364,1.0
106367,1.0
106370,1.0
106391,1.0
106396,1.0
106397,1.0
106398,1.0
106399,1.0
106400,1.0
106401,1.0
106402,1.0
106403,1.0
106404,1.0
106405,1.0
106406,1.0
106407,1.0
106408,1.0
106409,1.0
106410,1.0
106411,1.0
106412,1.0
106413,1.0
106414,1.0
106415,1.0
106416,1.0
106417,1.0
106418,1.0
106419,1.0
106420,1.0
106421,1.0
106422,1.0
106423,1.0
106424,1.0
106425,1.0
106426,1.0
106427,1.0
106428,1.0
106429,1.0
106430,1.0
106431,1.0
106432,1.0
106433,1.0
106434,1.0
106435,1.0
106436,1.0
106437,1.0
106438,1.0
106439,1.0
106440,1.0
106441,1.0
106442,1.0
106443,1.0
106444,1.0
106445,1.0
106446,1.0
106447,1.0
106448,1.0
106449,1.0
106450,1.0
106451,1.0
106452,1.0
106453,1.0
106454,1.0
106455,1.0
106456,1.0
106457,1.0
106458,1.0
106459,1.0
106460,1.0
106461,1.0
106462,1.0
106463,1.0
106464,1.0
106465,1.0
106466,1.0
106467,1.0
106468,1.0
106469,1.0
106470,1.0
106471,1.0
106472,1.0
106473,1.0
106474,1.0
106475,1.0
106476,1.0
106477,1.0
106478,1.0
106479,1.0
106480,1.0
106481,1.0
106482,1.0
106483,1.0
106484,1.0
106485,1.0
106486,1.0
106487,1.0
106488,1.0
106489,1.0
106490,1.0
106491,1.0
106492,1.0
106493,1.0
106494,1.0
106495,1.0
106496,1.0
106497,1.0
106498,1.0
106499,1.0
106500,1.0
106501,1.0
106502,1.0
106503,1.0
106504,1.0
106505,1.0
106506,1.0
106507,1.0
106508,1.0
106509,1.0
106510,1.0
106511,1.0
106512,1.0
106513,1.0
106514,1.0
106515,1.0
106516,1.0
106517,1.0
106518,1.0
106519,1.0
106520,1.0
106521,1.0
106522,1.0
106523,1.0
106524,1.0
106525,1.0
106526,1.0
106527,1.0
106528,1.0
106530,1.0
106531,1.0
106532,1.0
106533,1.0
106534,1.0
106536,1.0
106537,1.0
106538,1.0
106539,1.0
106541,1.0
106542,1.0
106543,1.0
106545,1.0
106546,1.0
106547,1.0
106548,1.0
106549,1.0
106550,1.0
106551,1.0
106552,1.0
106554,1.0
106555,1.0
106556,1.0
106557,1.0
106558,1.0
106559,1.0
106560,1.0
106561,1.0
106562,1.0
106563,1.0
106564,1.0
106565,1.0
106567,1.0
106568,1.0
106569,1.0
106570,1.0
106571,1.0
106572,1.0
106573,1.0
106574,1.0
106575,1.0
106576,1.0
106578,1.0
106579,1.0
106580,1.0
106581,1.0
106582,1.0
106583,1.0
106584,1.0
106585,1.0
106586,1.0
106587,1.0
106588,1.0
106589,1.0
106590,1.0
106591,1.0
106592,1.0
106593,1.0
106594,1.0
106596,1.0
106597,1.0
106598,1.0
106599,1.0
106600,1.0
106601,1.0
106602,1.0
106603,1.0
106604,1.0
106605,1.0
106606,1.0
106607,1.0
106608,1.0
106609,1.0
106610,1.0
106611,1.0
106612,1.0
106613,1.0
106615,1.0
106616,1.0
106617,1.0
106618,1.0
106619,1.0
106620,1.0
106621,1.0
106623,1.0
106624,1.0
106625,1.0
106626,1.0
106627,1.0
106628,1.0
106629,1.0
106630,1.0
106631,1.0
106632,1.0
106633,1.0
106634,1.0
106635,1.0
106636,1.0
106637,1.0
106638,1.0
106639,1.0
106640,1.0
106641,1.0
106642,1.0
106643,1.0
106644,1.0
106645,1.0
106646,1.0
106647,1.0
106648,1.0
106649,1.0
106650,1.0
106651,1.0
106652,1.0
106653,1.0
106654,1.0
106655,1.0
106656,1.0
106657,1.0
106658,1.0
106659,1.0
106660,1.0
106661,1.0
106662,1.0
106663,1.0
106664,1.0
106665,1.0
106666,1.0
106667,1.0
106668,1.0
106669,1.0
106670,1.0
106671,1.0
106672,1.0
106673,1.0
106674,1.0
106675,1.0
106676,1.0
106677,1.0
106678,1.0
106679,1.0
106681,1.0
106682,1.0
106683,1.0
106684,1.0
106685,1.0
106686,1.0
106688,1.0
106689,1.0
106691,1.0
106692,1.0
106693,1.0
106694,1.0
106695,1.0
106696,1.0
106697,1.0
106698,1.0
106699,1.0
106700,1.0
106701,1.0
106702,1.0
106703,1.0
106704,1.0
106705,1.0
106706,1.0
106707,1.0
106708,1.0
106709,1.0
106710,1.0
106711,1.0
106712,1.0
106713,1.0
106714,1.0
106715,1.0
106716,1.0
106717,1.0
106718,1.0
106719,1.0
106720,1.0
106721,1.0
106722,1.0
106723,1.0
106724,1.0
106725,1.0
106726,1.0
106727,1.0
106728,1.0
106729,1.0
106730,1.0
106731,1.0
106732,1.0
106733,1.0
106734,1.0
106735,1.0
106736,1.0
106737,1.0
106738,1.0
106739,1.0
106740,1.0
106742,1.0
106743,1.0
106744,1.0
106745,1.0
106746,1.0
106747,1.0
106748,1.0
106749,1.0
106750,1.0
106751,1.0
106752,1.0
106753,1.0
106754,1.0
106755,1.0
106756,1.0
106757,1.0
106758,1.0
106759,1.0
106760,1.0
106761,1.0
106762,1.0
106763,1.0
106764,1.0
106766,1.0
106767,1.0
106768,1.0
106769,1.0
106770,1.0
106771,1.0
106772,1.0
106774,1.0
106776,1.0
106777,1.0
106778,1.0
106779,1.0
106780,1.0
106781,1.0
106782,1.0
106783,1.0
106784,1.0
106785,1.0
106786,1.0
106787,1.0
106788,1.0
106789,1.0
106790,1.0
106791,1.0
106792,1.0
106793,1.0
106794,1.0
106796,1.0
106797,1.0
106799,1.0
106800,1.0
106802,1.0
106803,1.0
106804,1.0
106805,1.0
106806,1.0
106807,1.0
106808,1.0
106809,1.0
106810,1.0
106811,1.0
106812,1.0
106813,1.0
106815,1.0
106816,1.0
106817,1.0
106818,1.0
106819,1.0
106821,1.0
106822,1.0
106823,1.0
106824,1.0
106825,1.0
106826,1.0
106827,1.0
106828,1.0
106829,1.0
106831,1.0
106832,1.0
106833,1.0
106834,1.0
106835,1.0
106837,1.0
106838,1.0
106839,1.0
106840,1.0
106841,1.0
106842,1.0
106843,1.0
106844,1.0
106845,1.0
106846,1.0
106847,1.0
106848,1.0
106849,1.0
106850,1.0
106851,1.0
106852,1.0
106853,1.0
106854,1.0
106855,1.0
106856,1.0
106857,1.0
106858,1.0
106859,1.0
106860,1.0
106861,1.0
106862,1.0
106863,1.0
106864,1.0
106865,1.0
106866,1.0
106867,1.0
106868,1.0
106869,1.0
106871,1.0
106872,1.0
106873,1.0
106874,1.0
106875,1.0
106876,1.0
106877,1.0
106878,1.0
106879,1.0
106880,1.0
106881,1.0
106882,1.0
106883,1.0
106884,1.0
106885,1.0
106886,1.0
106887,1.0
106889,1.0
106890,1.0
106891,1.0
106892,1.0
106893,1.0
106894,1.0
106895,1.0
106896,1.0
106897,1.0
106898,1.0
106899,1.0
106900,1.0
106901,1.0
106902,1.0
106903,1.0
106904,1.0
106905,1.0
106906,1.0
106907,1.0
106908,1.0
106909,1.0
106910,1.0
106911,1.0
106912,1.0
106913,1.0
106914,1.0
106915,1.0
106916,1.0
106917,1.0
106918,1.0
106919,1.0
106920,1.0
106921,1.0
106922,1.0
106923,1.0
106924,1.0
106925,1.0
106926,1.0
106927,1.0
106928,1.0
106929,1.0
106930,1.0
106931,1.0
106933,1.0
106935,1.0
106936,1.0
106937,1.0
106938,1.0
106939,1.0
106940,1.0
106941,1.0
106942,1.0
106943,1.0
106944,1.0
106945,1.0
106946,1.0
106947,1.0
106948,1.0
106949,1.0
106950,1.0
106951,1.0
106953,1.0
106954,1.0
106955,1.0
106956,1.0
106957,1.0
106958,1.0
106959,1.0
106960,1.0
106961,1.0
106962,1.0
106963,1.0
106964,1.0
106965,1.0
106966,1.0
106967,1.0
106968,1.0
106970,1.0
106971,1.0
106972,1.0
106973,1.0
106974,1.0
106975,1.0
106976,1.0
106977,1.0
106978,1.0
106979,1.0
106980,1.0
106981,1.0
106982,1.0
106983,1.0
106984,1.0
106985,1.0
106986,1.0
106987,1.0
106988,1.0
106989,1.0
106990,1.0
106991,1.0
106993,1.0
106994,1.0
106995,1.0
106996,1.0
106997,1.0
106998,1.0
106999,1.0
107000,1.0
107001,1.0
107002,1.0
107003,1.0
107004,1.0
107005,1.0
107006,1.0
107008,1.0
107009,1.0
107010,1.0
107011,1.0
107012,1.0
107013,1.0
107014,1.0
